year,discharge_Jan_cfs,discharge_Feb_cfs,discharge_Mar_cfs,discharge_Apr_cfs,discharge_May_cfs,discharge_Jun_cfs,discharge_Jul_cfs,discharge_Aug_cfs,discharge_Sep_cfs,discharge_Oct_cfs,discharge_Nov_cfs,discharge_Dec_cfs,discharge_annual_mean_cfs,discharge_spring_mean_cfs
2001,89951.6129032258,244285.7142857143,338032.2580645161,351833.3333333333,456193.5483870968,465966.6666666667,256580.64516129033,142296.7741935484,123933.33333333333,137387.09677419355,122633.33333333333,170903.2258064516,241666.46185355863,403006.4516129032
2002,102722.58064516129,177214.2857142857,198516.12903225806,252900.0,586290.3225806452,358800.0,184290.32258064515,149516.12903225806,129566.66666666667,138816.12903225806,114600.0,93754.83870967742,207248.95033282132,349126.6129032258
2003,80561.29032258065,86942.85714285714,119177.41935483871,148066.66666666666,349967.7419354839,230533.33333333334,201548.38709677418,100993.54838709677,98820.0,74693.54838709677,120750.0,134148.38709677418,145516.9316436252,211936.29032258064
2004,134387.09677419355,102131.03448275862,262870.96774193546,234066.66666666666,252483.87096774194,439566.6666666667,264419.3548387097,163387.09677419355,159266.66666666666,118483.87096774194,196933.33333333334,225838.70967741936,212819.6112965023,297247.04301075265
2005,341322.5806451613,286857.14285714284,172096.7741935484,244666.66666666666,207935.48387096773,244133.33333333334,147800.0,97370.96774193548,102623.33333333333,131061.29032258065,92136.66666666667,87209.67741935483,179601.15975422427,217208.06451612903
2006,104393.54838709677,104057.14285714286,161270.96774193548,243766.66666666666,248935.48387096773,150366.66666666666,99738.70967741935,88035.48387096774,103196.66666666667,93441.93548387097,85093.33333333333,140709.67741935485,135250.52355350743,201084.94623655913
2007,183290.32258064515,134700.0,297000.0,382033.3333333333,393322.5806451613,271066.6666666667,192096.7741935484,169645.16129032258,194233.33333333334,196225.8064516129,148566.66666666666,130409.67741935483,224382.52688172043,335855.6451612903
2008,178774.1935483871,249413.7931034483,434161.29032258067,522666.6666666667,515032.2580645161,581933.3333333334,507580.6451612903,251129.03225806452,323633.3333333333,187354.83870967742,154733.33333333334,140322.5806451613,337227.94153998274,513448.3870967742
2009,213290.32258064515,210285.7142857143,331903.22580645164,423033.3333333333,535322.5806451613,415333.3333333333,264741.93548387097,186741.93548387097,166800.0,286032.2580645161,474000.0,288419.3548387097,316325.33282130054,426398.1182795699
2010,295000.0,257821.42857142858,408129.03225806454,460233.3333333333,485677.4193548387,488900.0,546870.9677419355,443838.70967741933,319966.6666666667,313032.2580645161,231700.0,165967.74193548388,368094.7964669739,460734.94623655913
2011,158516.12903225806,229964.2857142857,443645.1612903226,494766.6666666667,589548.3870967742,579766.6666666666,507354.8387096774,373580.6451612903,224700.0,145677.4193548387,145600.0,193483.87096774194,340550.33922171016,526931.7204301076
2012,131516.12903225806,150379.3103448276,222677.4193548387,236266.66666666666,264935.48387096776,175966.66666666666,130822.58064516129,83122.58064516129,84880.0,83393.54838709677,87156.66666666667,74780.64516129032,143824.80812013347,224961.55913978495
2013,85200.0,134892.85714285713,282870.96774193546,442766.6666666667,535096.7741935484,577533.3333333334,331322.5806451613,169419.35483870967,94503.33333333333,93838.70967741935,111380.0,98261.29032258065,246423.8223246288,459566.93548387097
2014,99035.48387096774,116110.71428571429,175451.61290322582,287500.0,326032.2580645161,355400.0,423161.29032258067,178161.29032258064,304333.3333333333,299903.22580645164,157866.66666666666,166161.29032258064,240759.76382488478,286095.9677419355
2015,128451.6129032258,134178.57142857142,190870.96774193548,225200.0,273129.03225806454,552933.3333333334,588451.6129032258,271129.03225806454,174033.33333333334,120774.19354838709,202866.66666666666,467677.4193548387,277474.6479774706,310533.3333333334
2016,508967.7419354839,257482.75862068965,271225.8064516129,292133.3333333333,391032.2580645161,330533.3333333333,267000.0,284709.67741935485,341033.3333333333,296322.5806451613,193400.0,164112.90322580645,299829.47719688545,321231.18279569893
2017,210677.4193548387,201571.42857142858,241258.06451612903,407066.6666666667,644290.3225806452,377833.3333333333,272838.70967741933,207129.03225806452,148200.0,204419.35483870967,171066.66666666666,122438.70967741935,267399.14234511007,417612.0967741936
2018,105396.7741935484,167550.0,295645.1612903226,299666.6666666667,348645.1612903226,289000.0,348838.70967741933,204580.64516129033,355600.0,452580.6451612903,341100.0,306290.32258064515,292907.8405017921,308239.24731182796
2019,341258.06451612903,348928.5714285714,479322.5806451613,637400.0,742838.7096774194,848033.3333333334,589419.3548387097,360451.6129032258,334233.3333333333,496677.4193548387,382533.3333333333,299806.4516129032,488408.5637480799,676898.6559139785
2020,396419.3548387097,328965.5172413793,423612.9032258064,472133.3333333333,444419.3548387097,448833.3333333333,289677.4193548387,227967.74193548388,142933.33333333334,122064.51612903226,162700.0,131003.2258064516,299227.5027808676,447249.7311827957
2021,129161.29032258065,157642.85714285713,367225.8064516129,368100.0,293129.03225806454,253333.33333333334,349161.29032258067,162451.61290322582,138946.66666666666,129838.70967741935,174733.33333333334,120935.48387096774,220388.28469022017,320447.0430107527
2022,112383.87096774194,155346.42857142858,225548.38709677418,343133.3333333333,401677.4193548387,322033.3333333333,179290.32258064515,128161.29032258065,104683.33333333333,81338.70967741935,100740.0,92983.87096774194,187276.69162826423,323098.1182795699
2023,117725.80645161291,155275.0,302000.0,288300.0,323935.48387096776,145366.66666666666,113016.12903225806,132877.4193548387,79370.0,95938.70967741935,107060.0,90319.35483870968,162598.7141577061,264900.5376344086
2024,125609.67741935483,183758.62068965516,135354.83870967742,243033.33333333334,462870.96774193546,371733.3333333333,476967.7419354839,204064.51612903227,124766.66666666667,83187.09677419355,162520.0,117541.93548387097,224284.0606847114,303248.1182795699
