year,month,nitrogen_mg_L,sample_count,phosphorus_mg_L
2001,1,0.172,1.0,0.1565
2001,2,0.574,1.0,0.309
2001,3,0.8725,2.0,0.36219999999999997
2001,4,0.7484999999999999,2.0,0.30200000000000005
2001,5,0.786,2.0,0.22479999999999997
2001,6,1.016,2.0,0.3405
2001,7,0.36,1.0,0.23299999999999998
2001,8,0.426,1.0,0.17166666666666666
2001,9,0.772,1.0,0.203
2001,10,0.452,1.0,0.2
2001,11,0.484,1.0,0.151
2002,1,0.285,1.0,0.13
2002,2,0.554,1.0,0.1805
2002,3,0.48250000000000004,2.0,0.143
2002,4,0.7116666666666666,3.0,0.22683333333333333
2002,5,0.742,2.0,0.32975
2002,6,0.437,1.0,0.18866666666666668
2002,7,0.199,1.0,0.1745
2002,8,0.393,1.0,0.1935
2002,9,0.51,1.0,0.17900000000000002
2002,10,0.354,1.0,0.178
2002,12,0.448,1.0,0.127
2003,1,0.333,1.0,0.11766666666666666
2003,2,0.592,1.0,0.0975
2003,3,0.456,1.0,0.10366666666666667
2003,4,0.5006666666666667,3.0,0.15514285714285717
2003,5,0.633,2.0,0.2525
2003,6,0.519,1.0,0.2285
2003,7,0.4165,2.0,0.2122
2003,8,0.519,1.0,0.21200000000000002
2003,9,0.543,1.0,0.2185
2003,10,0.472,1.0,0.13566666666666669
2003,12,0.208,1.0,0.159
2004,1,0.288,1.0,0.14550000000000002
2004,2,0.282,1.0,0.0955
2004,3,0.965,2.0,0.3634
2004,4,0.611,2.0,0.221
2004,5,0.628,2.0,0.1764
2004,6,1.0274999999999999,2.0,0.39039999999999997
2004,7,0.305,1.0,0.21849999999999997
2004,8,0.317,1.0,0.168
2004,9,0.918,1.0,0.3295
2004,10,0.337,1.0,0.194
2004,12,0.512,1.0,0.2335
2005,1,0.598,1.0,0.2495
2005,2,0.63,1.0,0.2585
2005,3,0.335,1.0,0.20600000000000002
2005,4,0.5885,2.0,0.22275
2005,5,0.776,2.0,0.28475
2005,6,0.841,1.0,0.305
2005,7,0.516,1.0,0.247
2005,8,0.336,1.0,0.195
2005,9,0.388,1.0,0.24
2005,10,0.313,1.0,0.147
2005,12,0.516,1.0,0.166
2006,1,0.23,1.0,0.1885
2006,2,0.431,1.0,0.16999999999999998
2006,3,0.655,2.0,0.1764
2006,4,0.537,2.0,0.17775000000000002
2006,5,0.442,1.0,0.15133333333333335
2006,6,0.397,1.0,0.15633333333333332
2006,7,0.46699999999999997,2.0,0.17450000000000002
2006,8,0.336,1.0,0.189
2006,9,0.332,1.0,0.21233333333333335
2006,10,0.06,1.0,0.16849999999999998
2006,12,0.441,1.0,0.196
2007,1,0.341,1.0,0.1965
2007,2,0.336,1.0,0.185
2007,3,1.174,2.0,0.33140000000000003
2007,4,0.6535,2.0,0.2246
2007,5,0.7125,2.0,0.265
2007,6,0.843,1.0,0.214
2007,7,0.277,1.0,0.1795
2007,8,0.509,1.0,0.27149999999999996
2007,9,0.421,1.0,0.23466666666666666
2007,11,0.301,1.0,0.1995
2007,12,1.2,1.0,0.35350000000000004
2008,2,0.553,1.0,0.3045
2008,3,1.17,1.0,0.41700000000000004
2008,4,0.6105,2.0,0.226
2008,5,0.7424999999999999,2.0,0.194
2008,6,1.36,1.0,0.3915
2008,7,0.5315,2.0,0.23825000000000002
2008,8,0.311,1.0,0.22249999999999998
2008,10,0.313,1.0,0.1745
2008,12,0.304,1.0,0.167
2009,2,0.592,1.0,0.28200000000000003
2009,3,1.38,1.0,0.4165
2009,4,0.593,2.0,0.21175000000000002
2009,5,0.9590000000000001,2.0,0.31025
2009,6,0.8545,2.0,0.3385
2009,7,0.441,1.0,0.2585
2009,8,1.08,1.0,0.408
2009,9,0.374,1.0,0.268
2009,10,0.344,1.0,0.173
2010,2,0.213,1.0,0.199
2010,3,1.6,1.0,0.4805
2010,4,0.509,2.0,0.2385
2010,5,0.9735,2.0,0.4295
2010,6,1.135,2.0,0.36
2010,7,0.89,1.0,0.341
2010,8,0.501,1.0,0.318
2010,9,0.526,1.0,0.314
2010,10,0.404,1.0,0.19
2010,12,0.36,1.0,0.1845
2011,2,0.187,1.0,0.123
2011,3,0.718,1.0,0.369
2011,4,0.628,2.0,0.23074999999999998
2011,5,0.631,2.0,0.188
2011,6,0.671,2.0,0.23475
2011,7,0.54,1.0,0.2475
2011,8,0.59,1.0,0.28300000000000003
2011,10,0.386,1.0,0.1895
2011,12,0.362,1.0,0.188
2012,2,0.484,1.0,0.20900000000000002
2012,3,0.534,1.0,0.193
2012,4,0.615,2.0,0.23025
2012,5,0.7375,2.0,0.28575
2012,6,0.4355,2.0,0.17325
2012,7,0.47,1.0,0.1895
2012,8,0.468,1.0,0.1945
2012,10,0.408,1.0,0.1755
2012,12,0.24,1.0,0.1375
2013,2,0.596,1.0,0.2525
2013,3,0.688,1.0,0.2405
2013,4,0.935,2.0,0.30974999999999997
2013,5,0.6835,2.0,0.22749999999999998
2013,6,0.956,2.0,0.35324999999999995
2013,7,0.441,2.0,0.212
2013,8,0.63,1.0,0.2525
2013,9,0.271,1.0,0.1835
2013,10,0.438,1.0,0.1775
2013,12,0.26,1.0,0.14400000000000002
2014,2,0.177,1.0,0.143
2014,3,0.4385,2.0,0.3265
2014,4,1.5835,2.0,0.3705
2014,5,0.6659999999999999,2.0,0.25425000000000003
2014,6,0.9724999999999999,2.0,0.33875
2014,7,0.7105,2.0,0.33925
2014,8,0.384,1.0,0.20450000000000002
2014,10,1.48,1.0,0.465
2014,12,0.241,1.0,0.2585
2015,3,0.3785,2.0,0.23625
2015,4,0.509,2.0,0.18375
2015,5,0.733,2.0,0.2635
2015,6,1.2625,2.0,0.373
2015,7,1.07,1.0,0.3895
2015,8,2.2760000000000002,2.0,0.37
2015,10,0.499,1.0,0.3175
2015,12,1.8,1.0,0.5565
2016,1,0.2395,2.0,0.19649999999999998
2016,2,0.196,1.0,0.1635
2016,3,0.3625,2.0,0.19575
2016,4,0.379,2.0,0.16599999999999998
2016,5,1.5965,2.0,0.54475
2016,6,0.5835,2.0,0.275
2016,7,0.956,1.0,0.3675
2016,8,0.697,2.0,0.29175
2016,10,0.663,1.0,0.35400000000000004
2016,12,0.247,1.0,0.16999999999999998
2017,2,0.215,1.0,0.2865
2017,3,0.466,1.0,0.18975
2017,4,1.0175,2.0,0.41175000000000006
2017,5,0.6975,2.0,0.26875
2017,6,0.546,1.0,0.25975
2017,7,0.536,2.0,0.29400000000000004
2017,8,0.323,1.0,0.20400000000000001
2017,10,0.444,1.0,0.14150000000000001
2017,12,0.222,1.0,0.16499999999999998
2018,2,0.834,1.0,0.395
2018,3,0.4665,2.0,0.29525
2018,4,0.5755,2.0,0.249
2018,5,0.49050000000000005,2.0,0.207
2018,6,0.381,2.0,0.22949999999999998
2018,7,0.579,1.0,0.3155
2018,8,,,0.1625
2018,10,0.589,1.0,0.2975
2018,12,0.216,1.0,0.2005
2019,2,0.514,1.0,0.2455
2019,3,1.0185,2.0,0.3735
2019,4,0.3835,2.0,0.1955
2019,5,0.542,2.0,0.2455
2019,6,0.316,2.0,0.2305
2019,7,0.421,1.0,0.3025
2019,8,0.584,1.0,0.201
2019,9,0.635,1.0,0.2645
2019,10,0.789,1.0,0.333
2019,12,0.254,1.0,0.1735
2020,2,0.273,1.0,0.2005
2020,3,0.311,1.0,0.154
2020,6,0.56,1.0,0.2235
2020,7,0.628,1.0,0.23099999999999998
2020,8,0.9289999999999999,2.0,0.31525
2020,9,0.46950000000000003,2.0,0.15375
2020,10,0.465,1.0,0.14850000000000002
2021,3,0.583,1.0,0.24425
2021,4,0.392,2.0,0.21525
2021,5,0.682,2.0,0.2175
2021,6,0.2895,2.0,0.17325
2021,7,0.548,2.0,0.234
2021,8,0.3875,2.0,0.17775
2021,9,0.455,1.0,0.1745
2021,10,0.349,1.0,0.14
2021,12,0.304,1.0,0.14400000000000002
2022,3,0.3315,2.0,0.1965
2022,4,0.553,2.0,0.181
2022,5,0.614,2.0,0.22775
2022,6,0.5985,2.0,0.231
2022,7,0.359,2.0,0.216
2022,8,0.3,1.0,0.1885
2022,10,0.602,1.0,0.1375
2022,12,0.227,1.0,0.13949999999999999
2023,2,0.444,1.0,0.133
2023,3,0.39849999999999997,2.0,0.2535
2023,4,0.271,2.0,0.17375
2023,5,0.319,2.0,0.162
2023,6,0.355,2.0,0.14775
2023,7,0.369,1.0,0.186
2023,10,0.378,1.0,
2023,12,0.422,1.0,
